"Informazioni cronologiche","user","level","game","datetime","event_name","value_0","value_1","value_2","value_3","value_4","value_5"
"2020/12/06 8:48:50 PM CET","ee6c9171-c371-48b4-84fd-030f980d3122","build_tutorial_000","1","06/12/20 20:48:50","PlayerDeath","103.7098","2.100439","","","",""
"2020/12/06 8:48:51 PM CET","ee6c9171-c371-48b4-84fd-030f980d3122","build_tutorial_000","1","06/12/20 20:48:51","InkFinished","Climb","","","","",""
"2020/12/06 8:48:51 PM CET","ee6c9171-c371-48b4-84fd-030f980d3122","build_tutorial_000","1","06/12/20 20:48:51","InkFinished","Damage","","","","",""
"2020/12/06 8:48:51 PM CET","ee6c9171-c371-48b4-84fd-030f980d3122","build_tutorial_000","1","06/12/20 20:48:51","InkFinished","Construction","","","","",""
"2020/12/06 9:14:05 PM CET","938bc2ae-2030-4517-af55-7642ce624386","build_tutorial_000","0","06/12/20 21:14:04","PlayerDeath","-0,2705943","-4,66307","","","",""
"2020/12/06 9:14:33 PM CET","938bc2ae-2030-4517-af55-7642ce624386","build_tutorial_000","0","06/12/20 21:14:33","PlayerDeath","11,57987","-4,807433","","","",""
"2020/12/06 9:14:39 PM CET","938bc2ae-2030-4517-af55-7642ce624386","build_tutorial_000","0","06/12/20 21:14:39","CheckpointTime","0","1","42","","",""
"2020/12/06 9:14:40 PM CET","938bc2ae-2030-4517-af55-7642ce624386","build_tutorial_000","0","06/12/20 21:14:39","InkStatusAtCheckpoint","1","0","0","0","",""
"2020/12/06 9:15:23 PM CET","938bc2ae-2030-4517-af55-7642ce624386","build_tutorial_000","0","06/12/20 21:15:23","InkStatusAtCheckpoint","2","0,1334486","0","0","",""
"2020/12/06 9:15:23 PM CET","938bc2ae-2030-4517-af55-7642ce624386","build_tutorial_000","0","06/12/20 21:15:23","CheckpointTime","1","2","43","","",""
"2020/12/06 9:15:29 PM CET","938bc2ae-2030-4517-af55-7642ce624386","build_tutorial_000","0","06/12/20 21:15:29","InkFinished","Construction","","","","",""
"2020/12/06 9:16:33 PM CET","938bc2ae-2030-4517-af55-7642ce624386","build_tutorial_000","0","06/12/20 21:16:33","InkFinished","Construction","","","","",""
"2020/12/06 9:16:40 PM CET","938bc2ae-2030-4517-af55-7642ce624386","build_tutorial_000","0","06/12/20 21:16:40","PlayerDeath","56,17002","15,97897","","","",""
"2020/12/06 9:16:41 PM CET","938bc2ae-2030-4517-af55-7642ce624386","build_tutorial_000","0","06/12/20 21:16:41","InkFinished","Climb","","","","",""
"2020/12/06 9:16:41 PM CET","938bc2ae-2030-4517-af55-7642ce624386","build_tutorial_000","0","06/12/20 21:16:41","InkFinished","Damage","","","","",""
"2020/12/06 9:16:43 PM CET","938bc2ae-2030-4517-af55-7642ce624386","build_tutorial_000","0","06/12/20 21:16:43","PlayerDeath","58,27134","-5,18274","","","",""
"2020/12/06 9:16:44 PM CET","938bc2ae-2030-4517-af55-7642ce624386","build_tutorial_000","0","06/12/20 21:16:44","InkFinished","Damage","","","","",""
"2020/12/06 9:16:44 PM CET","938bc2ae-2030-4517-af55-7642ce624386","build_tutorial_000","0","06/12/20 21:16:44","InkFinished","Climb","","","","",""
"2020/12/06 9:17:33 PM CET","938bc2ae-2030-4517-af55-7642ce624386","build_tutorial_000","0","06/12/20 21:17:32","InkStatusAtCheckpoint","3","0,1977111","0","0","",""
"2020/12/06 9:17:33 PM CET","938bc2ae-2030-4517-af55-7642ce624386","build_tutorial_000","0","06/12/20 21:17:32","CheckpointTime","2","3","129","","",""
"2020/12/06 9:17:46 PM CET","938bc2ae-2030-4517-af55-7642ce624386","build_tutorial_000","0","06/12/20 21:17:46","PlayerDeath","78,04716","-4,593261","","","",""
"2020/12/06 9:17:47 PM CET","938bc2ae-2030-4517-af55-7642ce624386","build_tutorial_000","0","06/12/20 21:17:47","InkFinished","Climb","","","","",""
"2020/12/06 9:17:47 PM CET","938bc2ae-2030-4517-af55-7642ce624386","build_tutorial_000","0","06/12/20 21:17:47","InkFinished","Damage","","","","",""
"2020/12/06 10:46:56 PM CET","b2e88c8c-71d1-404b-aa8f-1709a5a15042","build_tutorial_000","0","06/12/20 22:46:55","PlayerDeath","11,59685","-4,807433","","","",""
"2020/12/06 10:47:07 PM CET","b2e88c8c-71d1-404b-aa8f-1709a5a15042","build_tutorial_000","0","06/12/20 22:47:06","CheckpointTime","0","1","33","","",""
"2020/12/06 10:47:07 PM CET","b2e88c8c-71d1-404b-aa8f-1709a5a15042","build_tutorial_000","0","06/12/20 22:47:06","InkStatusAtCheckpoint","1","0","0","0","",""
"2020/12/06 10:47:47 PM CET","b2e88c8c-71d1-404b-aa8f-1709a5a15042","build_tutorial_000","0","06/12/20 22:47:47","InkFinished","Construction","","","","",""
"2020/12/06 10:48:01 PM CET","b2e88c8c-71d1-404b-aa8f-1709a5a15042","build_tutorial_000","0","06/12/20 22:48:01","PlayerDeath","46,05629","-4,744488","","","",""
"2020/12/06 10:48:02 PM CET","b2e88c8c-71d1-404b-aa8f-1709a5a15042","build_tutorial_000","0","06/12/20 22:48:02","InkFinished","Damage","","","","",""
"2020/12/06 10:48:02 PM CET","b2e88c8c-71d1-404b-aa8f-1709a5a15042","build_tutorial_000","0","06/12/20 22:48:02","InkFinished","Construction","","","","",""
"2020/12/06 10:48:03 PM CET","b2e88c8c-71d1-404b-aa8f-1709a5a15042","build_tutorial_000","0","06/12/20 22:48:02","InkFinished","Climb","","","","",""
"2020/12/06 10:48:28 PM CET","b2e88c8c-71d1-404b-aa8f-1709a5a15042","build_tutorial_000","0","06/12/20 22:48:27","PlayerDeath","23,58778","-4,739981","","","",""
"2020/12/06 10:48:29 PM CET","b2e88c8c-71d1-404b-aa8f-1709a5a15042","build_tutorial_000","0","06/12/20 22:48:28","InkFinished","Climb","","","","",""
"2020/12/06 10:48:29 PM CET","b2e88c8c-71d1-404b-aa8f-1709a5a15042","build_tutorial_000","0","06/12/20 22:48:28","InkFinished","Construction","","","","",""
"2020/12/06 10:48:29 PM CET","b2e88c8c-71d1-404b-aa8f-1709a5a15042","build_tutorial_000","0","06/12/20 22:48:28","InkFinished","Damage","","","","",""
"2020/12/06 10:48:43 PM CET","b2e88c8c-71d1-404b-aa8f-1709a5a15042","build_tutorial_000","0","06/12/20 22:48:42","PlayerDeath","24,78714","-4,750717","","","",""
