"id","user","level","game","datetime","event_name","value_0","value_1","value_2","value_3","value_4","value_5"
"46","938bc2ae-2030-4517-af55-7642ce624386","build_tutorial_000","0","06/12/20 21:15:23","InkStatusAtCheckpoint","2","0,1334486","0","0","",""
"47","938bc2ae-2030-4517-af55-7642ce624386","build_tutorial_000","0","06/12/20 21:15:23","CheckpointTime","1","2","43","","",""
"48","938bc2ae-2030-4517-af55-7642ce624386","build_tutorial_000","0","06/12/20 21:15:29","InkFinished","Construction","","","","",""
"49","938bc2ae-2030-4517-af55-7642ce624386","build_tutorial_000","0","06/12/20 21:16:33","InkFinished","Construction","","","","",""
"50","938bc2ae-2030-4517-af55-7642ce624386","build_tutorial_000","0","06/12/20 21:16:40","PlayerDeath","56,17002","15,97897","","","",""
"51","938bc2ae-2030-4517-af55-7642ce624386","build_tutorial_000","0","06/12/20 21:16:41","InkFinished","Climb","","","","",""
"52","938bc2ae-2030-4517-af55-7642ce624386","build_tutorial_000","0","06/12/20 21:16:41","InkFinished","Damage","","","","",""
"53","938bc2ae-2030-4517-af55-7642ce624386","build_tutorial_000","0","06/12/20 21:16:43","PlayerDeath","58,27134","-5,18274","","","",""
"54","938bc2ae-2030-4517-af55-7642ce624386","build_tutorial_000","0","06/12/20 21:16:44","InkFinished","Damage","","","","",""
"55","938bc2ae-2030-4517-af55-7642ce624386","build_tutorial_000","0","06/12/20 21:16:44","InkFinished","Climb","","","","",""
"56","938bc2ae-2030-4517-af55-7642ce624386","build_tutorial_000","0","06/12/20 21:17:32","InkStatusAtCheckpoint","3","0,1977111","0","0","",""
"57","938bc2ae-2030-4517-af55-7642ce624386","build_tutorial_000","0","06/12/20 21:17:32","CheckpointTime","2","3","129","","",""
"58","938bc2ae-2030-4517-af55-7642ce624386","build_tutorial_000","0","06/12/20 21:17:46","PlayerDeath","78,04716","-4,593261","","","",""
"59","938bc2ae-2030-4517-af55-7642ce624386","build_tutorial_000","0","06/12/20 21:17:47","InkFinished","Climb","","","","",""
"60","938bc2ae-2030-4517-af55-7642ce624386","build_tutorial_000","0","06/12/20 21:17:47","InkFinished","Damage","","","","",""
"61","b2e88c8c-71d1-404b-aa8f-1709a5a15042","build_tutorial_000","0","06/12/20 22:46:55","PlayerDeath","11,59685","-4,807433","","","",""
"62","b2e88c8c-71d1-404b-aa8f-1709a5a15042","build_tutorial_000","0","06/12/20 22:47:06","CheckpointTime","0","1","33","","",""
"63","b2e88c8c-71d1-404b-aa8f-1709a5a15042","build_tutorial_000","0","06/12/20 22:47:06","InkStatusAtCheckpoint","1","0","0","0","",""
"64","b2e88c8c-71d1-404b-aa8f-1709a5a15042","build_tutorial_000","0","06/12/20 22:47:47","InkFinished","Construction","","","","",""
"65","b2e88c8c-71d1-404b-aa8f-1709a5a15042","build_tutorial_000","0","06/12/20 22:48:01","PlayerDeath","46,05629","-4,744488","","","",""
"66","b2e88c8c-71d1-404b-aa8f-1709a5a15042","build_tutorial_000","0","06/12/20 22:48:02","InkFinished","Damage","","","","",""
"67","b2e88c8c-71d1-404b-aa8f-1709a5a15042","build_tutorial_000","0","06/12/20 22:48:02","InkFinished","Construction","","","","",""
"68","b2e88c8c-71d1-404b-aa8f-1709a5a15042","build_tutorial_000","0","06/12/20 22:48:02","InkFinished","Climb","","","","",""
"69","b2e88c8c-71d1-404b-aa8f-1709a5a15042","build_tutorial_000","0","06/12/20 22:48:27","PlayerDeath","23,58778","-4,739981","","","",""
"70","b2e88c8c-71d1-404b-aa8f-1709a5a15042","build_tutorial_000","0","06/12/20 22:48:28","InkFinished","Climb","","","","",""
"71","b2e88c8c-71d1-404b-aa8f-1709a5a15042","build_tutorial_000","0","06/12/20 22:48:28","InkFinished","Construction","","","","",""
"72","b2e88c8c-71d1-404b-aa8f-1709a5a15042","build_tutorial_000","0","06/12/20 22:48:28","InkFinished","Damage","","","","",""
"73","b2e88c8c-71d1-404b-aa8f-1709a5a15042","build_tutorial_000","0","06/12/20 22:48:42","PlayerDeath","24,78714","-4,750717","","","",""
"74","b2e88c8c-71d1-404b-aa8f-1709a5a15042","build_tutorial_000","0","06/12/20 22:48:43","InkFinished","Construction","","","","",""
"75","b2e88c8c-71d1-404b-aa8f-1709a5a15042","build_tutorial_000","0","06/12/20 22:48:43","InkFinished","Damage","","","","",""
"76","b2e88c8c-71d1-404b-aa8f-1709a5a15042","build_tutorial_000","0","06/12/20 22:48:43","InkFinished","Climb","","","","",""
"77","b2e88c8c-71d1-404b-aa8f-1709a5a15042","build_tutorial_000","0","06/12/20 22:49:09","PlayerDeath","44,75882","-4,834416","","","",""
"78","b2e88c8c-71d1-404b-aa8f-1709a5a15042","build_tutorial_000","0","06/12/20 22:49:10","InkFinished","Construction","","","","",""
"79","b2e88c8c-71d1-404b-aa8f-1709a5a15042","build_tutorial_000","0","06/12/20 22:49:10","InkFinished","Damage","","","","",""
"80","b2e88c8c-71d1-404b-aa8f-1709a5a15042","build_tutorial_000","0","06/12/20 22:49:10","InkFinished","Climb","","","","",""
"81","b2e88c8c-71d1-404b-aa8f-1709a5a15042","build_tutorial_000","0","06/12/20 22:49:30","PlayerDeath","30,84753","-5,091301","","","",""
"82","b2e88c8c-71d1-404b-aa8f-1709a5a15042","build_tutorial_000","0","06/12/20 22:49:31","InkFinished","Construction","","","","",""
"83","b2e88c8c-71d1-404b-aa8f-1709a5a15042","build_tutorial_000","0","06/12/20 22:49:31","InkFinished","Damage","","","","",""
"84","b2e88c8c-71d1-404b-aa8f-1709a5a15042","build_tutorial_000","0","06/12/20 22:49:31","InkFinished","Climb","","","","",""
"85","b2e88c8c-71d1-404b-aa8f-1709a5a15042","build_tutorial_000","0","06/12/20 22:49:50","PlayerDeath","23,0787","-4,78748","","","",""
"86","b2e88c8c-71d1-404b-aa8f-1709a5a15042","build_tutorial_000","0","06/12/20 22:49:51","InkFinished","Damage","","","","",""
"87","b2e88c8c-71d1-404b-aa8f-1709a5a15042","build_tutorial_000","0","06/12/20 22:49:51","InkFinished","Climb","","","","",""
"88","b2e88c8c-71d1-404b-aa8f-1709a5a15042","build_tutorial_000","0","06/12/20 22:49:51","InkFinished","Construction","","","","",""
"89","b2e88c8c-71d1-404b-aa8f-1709a5a15042","build_tutorial_000","0","06/12/20 22:50:15","CheckpointTime","1","2","188","","",""
"90","b2e88c8c-71d1-404b-aa8f-1709a5a15042","build_tutorial_000","0","06/12/20 22:50:15","InkStatusAtCheckpoint","2","0,5607348","0","0","",""
"91","b2e88c8c-71d1-404b-aa8f-1709a5a15042","build_tutorial_000","0","06/12/20 22:50:17","PlayerDeath","57,34004","-5,18274","","","",""
"92","b2e88c8c-71d1-404b-aa8f-1709a5a15042","build_tutorial_000","0","06/12/20 22:50:18","InkFinished","Damage","","","","",""
"93","b2e88c8c-71d1-404b-aa8f-1709a5a15042","build_tutorial_000","0","06/12/20 22:50:18","InkFinished","Climb","","","","",""
"94","b2e88c8c-71d1-404b-aa8f-1709a5a15042","build_tutorial_000","0","06/12/20 22:51:30","InkFinished","Construction","","","","",""
"95","b2e88c8c-71d1-404b-aa8f-1709a5a15042","damage_tutorial_002","1","06/12/20 22:51:58","InkFinished","Climb","","","","",""
"96","b2e88c8c-71d1-404b-aa8f-1709a5a15042","damage_tutorial_002","1","06/12/20 22:51:58","InkFinished","Construction","","","","",""
"97","b2e88c8c-71d1-404b-aa8f-1709a5a15042","damage_tutorial_002","1","06/12/20 22:51:58","InkFinished","Damage","","","","",""
"98","b2e88c8c-71d1-404b-aa8f-1709a5a15042","damage_tutorial_002","1","06/12/20 22:52:18","PlayerDeath","7,898938","-5,891827","","","",""
"99","b2e88c8c-71d1-404b-aa8f-1709a5a15042","damage_tutorial_002","1","06/12/20 22:52:27","PlayerDeath","13,84645","-8,855215","","","",""
"100","b2e88c8c-71d1-404b-aa8f-1709a5a15042","damage_tutorial_002","1","06/12/20 22:52:41","InkStatusAtCheckpoint","1","0,1379589","0","0","",""
"101","b2e88c8c-71d1-404b-aa8f-1709a5a15042","damage_tutorial_002","1","06/12/20 22:52:41","CheckpointTime","0","1","42","","",""
"102","b2e88c8c-71d1-404b-aa8f-1709a5a15042","damage_tutorial_002","1","06/12/20 22:53:22","CheckpointTime","1","2","41","","",""
"103","b2e88c8c-71d1-404b-aa8f-1709a5a15042","damage_tutorial_002","1","06/12/20 22:53:22","InkStatusAtCheckpoint","2","0,3110827","0","0,28","",""
"104","b2e88c8c-71d1-404b-aa8f-1709a5a15042","damage_tutorial_002","1","06/12/20 22:53:44","EnemyKilled","Eraser","11996","68,75813","-11,80987","",""
"105","b2e88c8c-71d1-404b-aa8f-1709a5a15042","damage_tutorial_002","1","06/12/20 22:53:44","EnemyKilled","Shooter","12076","68,75813","-11,80987","",""
"106","4aa7545c-4309-4486-a12f-92d9ffa6a25b","build_tutorial_000","3","06/12/20 22:54:13","InkStatusAtCheckpoint","1","0","0","0","",""
"107","4aa7545c-4309-4486-a12f-92d9ffa6a25b","build_tutorial_000","3","06/12/20 22:54:13","CheckpointTime","0","1","4","","",""
"108","b2e88c8c-71d1-404b-aa8f-1709a5a15042","damage_tutorial_002","1","06/12/20 22:54:15","EnemyKilled","JumperEraser","11940","92,24812","-21,13108","",""
"109","b2e88c8c-71d1-404b-aa8f-1709a5a15042","damage_tutorial_002","1","06/12/20 22:54:15","EnemyKilled","Jumper (6)","11956","92,24812","-21,13108","",""
"110","b2e88c8c-71d1-404b-aa8f-1709a5a15042","damage_tutorial_002","1","06/12/20 22:54:18","EnemyKilled","JumperEraser","11960","83,22813","-16,14308","",""
"111","b2e88c8c-71d1-404b-aa8f-1709a5a15042","damage_tutorial_002","1","06/12/20 22:54:18","EnemyKilled","Jumper (3)","11946","83,22813","-16,14308","",""
"112","b2e88c8c-71d1-404b-aa8f-1709a5a15042","damage_tutorial_002","1","06/12/20 22:54:21","EnemyKilled","JumperEraser","11966","86,21812","-15,85346","",""
"113","b2e88c8c-71d1-404b-aa8f-1709a5a15042","damage_tutorial_002","1","06/12/20 22:54:21","EnemyKilled","Jumper (4)","11936","86,21812","-15,85346","",""
"114","b2e88c8c-71d1-404b-aa8f-1709a5a15042","damage_tutorial_002","1","06/12/20 22:54:25","InkFinished","Damage","","","","",""
"115","b2e88c8c-71d1-404b-aa8f-1709a5a15042","damage_tutorial_002","1","06/12/20 22:54:25","EnemyKilled","JumperEraser","11964","89,26813","-15,61279","",""
"116","b2e88c8c-71d1-404b-aa8f-1709a5a15042","damage_tutorial_002","1","06/12/20 22:54:25","EnemyKilled","Jumper (5)","11930","89,26813","-15,61279","",""
"117","4aa7545c-4309-4486-a12f-92d9ffa6a25b","build_tutorial_000","3","06/12/20 22:54:29","CheckpointTime","1","2","16","","",""
"118","4aa7545c-4309-4486-a12f-92d9ffa6a25b","build_tutorial_000","3","06/12/20 22:54:29","InkStatusAtCheckpoint","2","0,2235745","0","0","",""
"119","b2e88c8c-71d1-404b-aa8f-1709a5a15042","damage_tutorial_002","1","06/12/20 22:54:51","EnemyKilled","JumperEraser","11954","108,0781","-18,7452","",""
"120","b2e88c8c-71d1-404b-aa8f-1709a5a15042","damage_tutorial_002","1","06/12/20 22:54:51","EnemyKilled","Jumper (8)","11938","108,0781","-18,7452","",""
"121","4aa7545c-4309-4486-a12f-92d9ffa6a25b","build_tutorial_000","3","06/12/20 22:54:53","InkFinished","Construction","","","","",""
"122","4aa7545c-4309-4486-a12f-92d9ffa6a25b","build_tutorial_000","3","06/12/20 22:54:54","CheckpointTime","2","3","25","","",""
"123","4aa7545c-4309-4486-a12f-92d9ffa6a25b","build_tutorial_000","3","06/12/20 22:54:54","InkStatusAtCheckpoint","3","0","0","0","",""
"124","b2e88c8c-71d1-404b-aa8f-1709a5a15042","damage_tutorial_002","1","06/12/20 22:54:56","EnemyKilled","JumperEraser","11970","103,6681","-16,03358","",""
"125","b2e88c8c-71d1-404b-aa8f-1709a5a15042","damage_tutorial_002","1","06/12/20 22:54:56","EnemyKilled","Jumper (7)","11972","103,6681","-16,03358","",""
"126","4aa7545c-4309-4486-a12f-92d9ffa6a25b","build_tutorial_000","3","06/12/20 22:55:14","InkStatusAtCheckpoint","4","0,6010194","0","0","",""
"127","4aa7545c-4309-4486-a12f-92d9ffa6a25b","build_tutorial_000","3","06/12/20 22:55:14","CheckpointTime","3","4","19","","",""
"128","b2e88c8c-71d1-404b-aa8f-1709a5a15042","damage_tutorial_002","1","06/12/20 22:55:18","EnemyKilled","JumperEraser","11942","112,7281","-16,23599","",""
"129","b2e88c8c-71d1-404b-aa8f-1709a5a15042","damage_tutorial_002","1","06/12/20 22:55:18","EnemyKilled","Jumper (9)","11950","112,7281","-16,23599","",""
"130","b2e88c8c-71d1-404b-aa8f-1709a5a15042","damage_tutorial_002","1","06/12/20 22:55:26","EnemyKilled","JumperEraser","11958","116,7681","-15,96049","",""
"131","b2e88c8c-71d1-404b-aa8f-1709a5a15042","damage_tutorial_002","1","06/12/20 22:55:26","EnemyKilled","Jumper (10)","11948","116,7681","-15,96049","",""
"132","b2e88c8c-71d1-404b-aa8f-1709a5a15042","damage_tutorial_002","1","06/12/20 22:55:34","InkStatusAtCheckpoint","3","0,1298738","0","0,24","",""
"133","b2e88c8c-71d1-404b-aa8f-1709a5a15042","damage_tutorial_002","1","06/12/20 22:55:34","CheckpointTime","2","3","132","","",""
"134","4aa7545c-4309-4486-a12f-92d9ffa6a25b","build_tutorial_000","3","06/12/20 22:55:38","InkFinished","Construction","","","","",""
"135","4aa7545c-4309-4486-a12f-92d9ffa6a25b","build_tutorial_000","3","06/12/20 22:55:39","PlayerDeath","102,081","8,397201","","","",""
"136","4aa7545c-4309-4486-a12f-92d9ffa6a25b","build_tutorial_000","3","06/12/20 22:55:40","InkFinished","Climb","","","","",""
"137","4aa7545c-4309-4486-a12f-92d9ffa6a25b","build_tutorial_000","3","06/12/20 22:55:40","InkFinished","Damage","","","","",""
"138","b2e88c8c-71d1-404b-aa8f-1709a5a15042","damage_tutorial_002","1","06/12/20 22:55:40","EnemyKilled","Shooter (1)","12082","132,9781","-13,03987","",""
